Latitude,Longitude  ,_Time_,Route,WhichBusStop
33.77961,-84.402924,35454,Blue,
33.77853,-84.40152,35524,Blue,
33.776428,-84.402496,35554,Blue,
33.775188,-84.402634,35617,Blue,
33.775169,-84.402634,35619,Blue,
33.775181,-84.402634,35638,Blue,
33.775169,-84.402641,35642,Blue,
33.77372,-84.401588,35712,Blue,
33.773071,-84.397667,35742,Blue,
33.772911,-84.397079,35754,Blue,
33.772919,-84.397079,35755,Blue,
33.773159,-84.39695,35804,Blue,
33.773209,-84.396957,35808,Blue,
33.773209,-84.396988,35832,Blue,
33.77322,-84.397003,35834,Blue,
33.772949,-84.397133,35857,Blue,
33.77293,-84.397133,35902,Blue,
33.77235,-84.395737,35932,Blue,
33.77137,-84.395538,40002,Blue,
33.77132,-84.392197,40032,Blue,
33.77132,-84.39212,40035,Blue,
33.771309,-84.39212,40042,Blue,
33.771809,-84.391968,40056,Blue,
33.771851,-84.39196,40059,Blue,
33.77198,-84.392052,40117,Blue,
33.77417,-84.39196,40147,Blue,
33.77507,-84.391922,40159,Blue,
33.775101,-84.39193,40202,Blue,
33.775021,-84.391937,40212,Blue,
33.775028,-84.391937,40214,Blue,
33.775959,-84.393517,40244,Blue,
33.775959,-84.393539,40246,Blue,
33.775959,-84.393547,40247,Blue,
33.775631,-84.395012,40317,Blue,
33.77533,-84.396149,40344,Blue,
33.77533,-84.396141,40345,Blue,
33.775311,-84.396141,41038,Blue,
33.775299,-84.396141,41042,Blue,
33.77549,-84.395309,41112,Blue,
33.775909,-84.393967,41138,Blue,
33.775909,-84.393967,41140,Blue,
33.7752,-84.392197,41210,Blue,
33.774971,-84.392036,41225,Blue,
33.774948,-84.392029,41227,Blue,
33.77499,-84.392029,41239,Blue,
33.774979,-84.392036,41242,Blue,
33.773178,-84.392067,41312,Blue,
33.771568,-84.392151,41331,Blue,
33.7715,-84.392151,41333,Blue,
33.7715,-84.392128,41345,Blue,
33.771358,-84.394493,41415,Blue,
33.772202,-84.395523,41445,Blue,
33.772789,-84.397049,41515,Blue,
33.773418,-84.399162,41545,Blue,
33.774109,-84.402199,41615,Blue,
33.77412,-84.402191,41616,Blue,
33.77412,-84.402153,41619,Blue,
33.77504,-84.402382,41645,Blue,
33.775082,-84.402397,41648,Blue,
33.775082,-84.402397,41649,Blue,
33.775059,-84.40239,41654,Blue,
33.776371,-84.402481,41724,Blue,
33.777241,-84.403198,41754,Blue,
33.777531,-84.404243,41824,Blue,
33.778198,-84.404182,41843,Blue,
33.778198,-84.404182,41844,Blue,
33.778259,-84.404182,42410,Blue,
33.778259,-84.404167,42417,Blue,
33.77951,-84.404099,42447,Blue,
33.779598,-84.402946,42517,Blue,
33.779598,-84.402863,42519,Blue,
33.779598,-84.40284,42522,Blue,
33.779591,-84.402863,42533,Blue,
33.779591,-84.402847,42536,Blue,
33.778831,-84.401749,42606,Blue,
33.777351,-84.402359,42636,Blue,
33.775341,-84.402573,42706,Blue,
33.7752,-84.402611,42709,Blue,
33.775169,-84.402618,42712,Blue,
33.775219,-84.402618,42720,Blue,
33.775219,-84.402634,42732,Blue,
33.774399,-84.402481,42756,Blue,
33.774399,-84.402481,42819,Blue,
33.77346,-84.39994,42849,Blue,
33.77293,-84.397079,42922,Blue,
33.773079,-84.396988,42928,Blue,
33.773129,-84.397003,42932,Blue,
33.773178,-84.396988,42949,Blue,
